DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year
20200412,2020-04-12,Sun,April,Apr,4,2,2020
20200413,2020-04-13,Mon,April,Apr,4,2,2020
20200414,2020-04-14,Tue,April,Apr,4,2,2020
20200415,2020-04-15,Wed,April,Apr,4,2,2020
20200416,2020-04-16,Thu,April,Apr,4,2,2020
20200417,2020-04-17,Fri,April,Apr,4,2,2020
20200418,2020-04-18,Sat,April,Apr,4,2,2020
20200419,2020-04-19,Sun,April,Apr,4,2,2020
20200420,2020-04-20,Mon,April,Apr,4,2,2020
20200421,2020-04-21,Tue,April,Apr,4,2,2020
20200422,2020-04-22,Wed,April,Apr,4,2,2020
20200423,2020-04-23,Thu,April,Apr,4,2,2020
20200424,2020-04-24,Fri,April,Apr,4,2,2020
20200425,2020-04-25,Sat,April,Apr,4,2,2020
20200426,2020-04-26,Sun,April,Apr,4,2,2020
20200427,2020-04-27,Mon,April,Apr,4,2,2020
20200428,2020-04-28,Tue,April,Apr,4,2,2020
20200429,2020-04-29,Wed,April,Apr,4,2,2020
20200430,2020-04-30,Thu,April,Apr,4,2,2020
20200501,2020-05-01,Fri,May,May,5,2,2020
20200502,2020-05-02,Sat,May,May,5,2,2020
20200503,2020-05-03,Sun,May,May,5,2,2020
20200504,2020-05-04,Mon,May,May,5,2,2020
20200505,2020-05-05,Tue,May,May,5,2,2020
20200506,2020-05-06,Wed,May,May,5,2,2020
20200507,2020-05-07,Thu,May,May,5,2,2020
20200508,2020-05-08,Fri,May,May,5,2,2020
20200509,2020-05-09,Sat,May,May,5,2,2020
20200510,2020-05-10,Sun,May,May,5,2,2020
